Country Code,Change,Description of Change,Date Issued,Source
BD,"Change of spelling of BD-03, BD-06, BD-08, BD-10, BD-22, BD-A, BD-B; Addition of local variation for BD-10, BD-B; Correction of the Code Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BD.
BD,"Change of spelling of BD-24, BD-25, BD-29, BD-45; change of parent subdivision of BD-21, BD-34, BD-41, BD-55, BD-57; addition of parent subdivision BD-H; addition of an asterisk to divisions; update list source.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BD.
BE,Addition of the parent subdivisions.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BE.
BE,"First level prefix addition, change of administrative languages and list source update.",,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
BF,Spelling change: BF-TUI Tui -> Tuy.,Change of spelling of BF-TUI; update list source.,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BF.
BF,Correction of the short name lowercase in French.,,2014-04-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BF.
BF,Subdivisions added: 13 regions.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
BG,Add the second romanized local name for Bulgaria.,,2011-06-12,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BG.
BG,Subdivision layout: 9 regions -> 28 regions.,"New subdivision layout: Nine regions with former names (two remaining with former code). Ten regions with new names. New references for list source, code source and romanization system.",2002-05-21,Newsletter I-2 - https://web.archive.org/web/20081218103157/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
BG,Application of the romanization system 26 October 2006.,,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
BG,Local country name romanization system adjustment and source list update.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
BG,Add the second romanized local name for Bulgaria.,,2011-07-14,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BG.
BG,Addition of romanization system.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BG.
BG,Change of subdivision category from region to district in eng and fra; update List Source.,,2018-04-20,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BG.
BG,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BG.
BG,Alignment with ISO 3166-2 of the local short name Alignment with ISO 3166-2 of the local short name.,,2013-02-06,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BG.
BH,Change of subdivision name for BH-13; deletion of a governorate BH-16; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BH.
BH,Subdivision layout: 12 regions -> 5 governorates.,Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
BI,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BI.
BI,Subdivision added: BI-RM Rumonge.,Addition of one province BI-RM; update List Source.,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BI.
BI,Subdivisions added: BI-BM Bujumbura Mairie. BI-BL Bujumbura Rural. Subdivisions deleted: BI-BJ Bujumbura.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
BI,Subdivisions added: BI-MW Mwaro.,Addition of one province.,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
