Country Code,Change,Description of Change,Date Issued,Source
BO,"Change of short form country name in accordance with ISO 3166-1, NL VI-6 (2009-05-08).",,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
BO,Change of short name upper case: replace the parentheses with a coma.,,2024-02-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BO.
BO,Alignment of the English and French short names upper and lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BO.
BO,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BO.
BO,Change of short and full names.,,2009-05-08,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BO.
BQ,Add new entry.,,2010-12-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BQ.
BQ,Correct the English name to Sint Eustatius in alignment with United Nations Terminology and Reference Section (UNTERM).,,2011-06-12,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BQ.
BQ,Correct the English name to Sint Eustatius in alignment with United Nations Terminology and Reference Section (UNTERM).,,2011-07-14,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BQ.
BQ,Typographical correction of subdivision name of BQ-BO in pap (deleted leading space).,,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BQ.
BQ,Correct local short name and align with ISO 3166-2.,,2012-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BQ.
BQ,Change in lower case the local short name.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BQ.
BQ,"Addition of code to align ISO 3166-1 and ISO 3166-2, addition of two divisions and update of the number of divisions.",,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
BR,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BR.
BR,Deletion of asterisk from state BR-TO; update list source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BR.
BS,Subdivisions deleted: BS-GT Green Turtle Cay.,"Correction of NL II-2 for toponyms and typographical errors, one deletion and source list update.",2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
BS,Subdivision added: BS-NP New Providence.,Addition of island BS-NP; Addition of Remark; Update List Source.,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BS.
BS,Subdivision layout: 21 districts -> 32 districts (mistakenly listed as 31 districts in newsletter).,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
BT,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BT.
BT,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BT.
BT,"Change of spelling of BT-13, BT-45; update list source.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BT.
BT,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BT.
BT,Change of spelling of BT-43; Update List Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BT.
BV,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BV.
BV,Correct administrative language code from nbo to nob.,,2014-04-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BV.
BV,Add local short names.,,2013-02-06,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BV.
BW,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BW.
BW,Subdivisions added: BW-CH Chobe. BW-FR Francistown. BW-GA Gaborone. BW-JW Jwaneng. BW-LO Lobatse. BW-SP Selibe Phikwe. BW-ST Sowa Town. Spelling changes: BW-NE North-East -> North East. BW-NW North-West -> North West. BW-SE South-East -> South East.,"Add 1 district BW-CH, 2 cities BW-FR and BW-GA, 4 towns BW-JW, BW-LO, BW-SP, BW-ST; remove hyphens from BW-NE, BW-NW, and BW-SE; update List Source.",2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BW.
BW,Subdivisions deleted: BW-CH Chobe. Codes: BW-NG Ngamiland -> BW-NW North-West.,Deletion of Chobe district which is incorporated into (new) BW-NW. Change of code element of North-West District to BW-NW. Deletion of alternative names. Update of list source.,2003-09-05,Newsletter I-5 - https://web.archive.org/web/20081218103244/http://www.iso.org/iso/iso_3166-2_newsletter_i-5_en.pdf.
BY,Correction of spelling for BY-HR of BGN/PCGN 1979.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BY.
BY,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BY.
BY,Change romanization system from 'GOST 1983' to 'Belarusian Lacinka' of bel; change romanization system of BY-HM* of bel and rus.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BY.
BY,Subdivisions added: BY-HM Horad Minsk.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
BY,Correction of spelling mistakes and language code elements.,,2000-06-21,Newsletter I-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_i-1_en.pdf.
BZ,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BZ.
BZ,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BZ.
CA,Name change: CA-YT Yukon Territory -> Yukon.,Change spelling of CA-YT; update List Source.,2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CA.
CA,Codes: CA-NF Newfoundland -> CA-NL Newfoundland and Labrador.,Change of code element of Newfoundland and Labrador.,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
CA,Codes: CA-NF Newfoundland -> CA-NL Newfoundland and Labrador.,Correction of name form of CA-NF.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
CA,Subdivisions added: CA-NU Nunavut.,Addition of 1 new territory.,2000-06-21,Newsletter I-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_i-1_en.pdf.
CC,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CC.
CD,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CD.
CD,"Names changed: CD-BC, CD-KE. Subdivisions deleted: CD-BN, CD-KA, CD-KW, CD-OR. Subdivisions added: CD-BU, CD-HK, CD-HL, CD-HU, CD-IT, CD-KC, CD-KG, CD-KL, CD-KS, CD-LO, CD-LU, CD-MN, CD-MO, CD-NU, CD-SA, CD-SU, CD-TA, CD-TO, CD-TU.","Change of subdivision name of CD-BC, CD-KE; deletion of provinces CD-BN, CD-KA, CD-KW, CD-OR; addition of provinces CD-BU, CD-HK, CD-HL, CD-HU, CD-IT, CD-KC, CD-KG, CD-KL, CD-KS, CD-LO, CD-LU, CD-MN, CD-MO, CD-NU, CD-SA, CD-SU, CD-TA, CD-TO, CD-TU; update List Source.",2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CD.
CD,Codes: CD-HC Haut-Congo -> CD-OR Orientale.,One subdivision name changed. Generic name of subdivisions changed. New reference in the list source.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
CF,Correct French full name and local short name to align with ISO 3166-2.,,2012-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CF.
CF,"Consistency between ISO 3166-1 and ISO 3166-2, addition of names in administrative languages, and update of the administrative structure and of the list source.",,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
CF,"Addition of administrative language Sango (sg, sag).",,2009-01-07,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CF.
CG,Change Subdivision category ‘region’ to ‘department’; change ‘capital’ to ‘department’; update List Source.,,2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CG.
CG,Alignment of the English short name lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CG.
CG,Correction of the OBP entry error as follows: change of the font character from a dash to a hyphen in the name for Pointe-Noire.,,2015-02-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CG.
CG,Add 1 department CG-16.,,2015-02-12,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CG.
CH,Deletion of canton CH-GR in fra; Update List Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CH.
CH,Spelling correction of CH-AI and CH-AR. New list source.,,2003-09-05,Newsletter I-5 - https://web.archive.org/web/20081218103244/http://www.iso.org/iso/iso_3166-2_newsletter_i-5_en.pdf.
CI,Correction of the French full name.,,2022-09-02,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CI.
CI,Update Code Source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CI.
CI,"Deletion of all regions CI-01 to CI-19; addition of districts CI-BS, CI-CM, CI-DN, CI-GD, CI-LC, CI-LG, CI-MG, CI-SM, CI-SV, CI-VB, CI-WR, CI-ZZ; addition of autonomous districts CI-AB, CI-YM; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CI.
CI,Subdivisions added: CI-17 Bafing. CI-18 Fromager. CI-19 Moyen-Cavally.,Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
CK,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CK.
CL,Subdivisions added: CL-NB Ñuble.,Addition of region CL-NB; Update List Source.,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CL.
CL,"Spelling changes: CL-AI, CL-AR.","Change of spelling of CL-AR, CL-AI; addition of local variation of CL-AI, CL-LI; update list source.",2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CL.
CL,"Spelling changes: CL-AI, CL-BI.",Change spelling of CL-AI and CL-BI; update List Source.,2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CL.
CL,Subdivisions added: CL-AP Arica y Parinacota. CL-LR Los Ríos.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
CM,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CM.
CM,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CM.
CN,Change of spelling of CN-NX; Update List Source.,,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CN.
CN,Change language from mon to zho for CN-NM.,,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CN.
CN,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CN.
CN,Change of subdivision code: CN-11 -> CN-BJ. CN-12 -> CN-TJ. CN-13 -> CN-HE. CN-14 -> CN-SX. CN-15 -> CN-NM. CN-21 -> CN-LN. CN-22 -> CN-JL. CN-23 -> CN-HL. CN-31 -> CN-SH. CN-32 -> CN-JS. CN-33 -> CN-ZJ. CN-34 -> CN-AH. CN-35 -> CN-FJ. CN-36 -> CN-JX. CN-37 -> CN-SD. CN-41 -> CN-HA. CN-42 -> CN-HB. CN-43 -> CN-HN. CN-44 -> CN-GD. CN-45 -> CN-GX. CN-46 -> CN-HI. CN-50 -> CN-CQ. CN-51 -> CN-SC. CN-52 -> CN-GZ. CN-53 -> CN-YN. CN-54 -> CN-XZ. CN-61 -> CN-SN. CN-62 -> CN-GS. CN-63 -> CN-QH. CN-64 -> CN-NX. CN-65 -> CN-XJ. CN-71 -> CN-TW. CN-91 -> CN-HK. CN-92 -> CN-MO.,"Change of subdivision code from CN-15 to CN-NM, CN-45 to CN-GX, CN-54 to CN-XZ, CN-64 to CN-NX, CN-65 to CN-XJ, CN-11 to CN-BJ, CN-12 to CN-TJ, CN-31 to CN-SH, CN-50 to CN-CQ, CN-13 to CN-HE, CN-14 to CN-SX, CN-21 to CN-LN, CN-22 to CN-JL, CN-23 to CN-HL, CN-32 to CN-JS, CN-33 to CN-ZJ, CN-34 to CN-AH, CN-35 to CN-FJ, CN-36 to CN-JX, CN-37 to CN-SD, CN-41 to CN-HA, CN-42 to CN-HB, CN-43 to CN-HN, CN-44 to CN-GD, CN-46 to CN-HI, CN-51 to CN-SC, CN-52 to CN-GZ, CN-53 to CN-YN, CN-61 to CN-SN, CN-62 to CN-GS, CN-63 to CN-QH, CN-71 to CN-TW, CN-91 to CN-HK, CN-92 to CN-MO; change of subdivision name of CN-NM, CN-GX, CN-XZ, CN-NX, CN-XJ, CN-BJ, CN-TJ, CN-SH, CN-CQ, CN-HE, CN-SX, CN-LN, CN-JL, CN-HL, CN-JS, CN-ZJ, CN-AH, CN-FJ, CN-JX, CN-SD, CN-HA, CN-HB, CN-HN, CN-GD, CN-HI, CN-SC, CN-GZ, CN-YN, CN-SN, CN-GS, CN-QH, CN-TW, CN-HK, CN-MO; addition of remark in parentheses to subdivision name for CN-HK, CN-MO in eng; addition of region CN-MO in por; update Code Source; update List Source.",2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CN.
CN,Deletion of one name form in CN-15.,,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20081218103224/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
CN,Subdivisions added: CN-92 Macau.,Addition of one new entity. Precise specification and correction of Pinyin names. List source updated.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
CO,"Addition of local variation of CO-DC, CO-SAP, CO-VAC; update list source.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CO.
CO,Change of name of CO-DC.,,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20120112041245/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
CR,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CR.
CR,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CR.
CU,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CU.
CU,Add 2 provinces CU-15 and CU-16; delete CU-02; change name of CU-03; update List Source.,,2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CU.
CV,Subdivisions added: CV-RB Ribeira Brava. CV-RS Ribeira Grande de Santiago. CV-CF Santa Catarina do Fogo. CV-SL São Lourenço dos Órgãos. CV-SS São Salvador do Mundo. CV-TS Tarrafal de São Nicolau. Subdivisions deleted: CV-SN São Nicolau. Codes: CV-CS Calheta de São Miguel -> CV-SM São Miguel.,"Addition of the country code prefix as the first code element, update of the administrative structure and of the list source.",2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
CV,Subdivisions added: CV-CS Calheta de São Miguel. CV-MO Mosteiros. CV-SF São Filipe.,Subdivision layout partially revised: Three new municipalities. New reference for list source.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
CV,Codes: São Lourenço dos Órgãos CV-SL -> CV-SO.,Correction of NL II-2 for toponyms and typographical errors and source list update.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
CV,Modification of the French remark.,,2014-03-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CV.
CV,UN notification of name change for both short and full names.,,2013-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CV.
CV,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CV.
CW,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of Netherlands (NL-CW)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CW.
CW,Addition of code to align ISO 3166-1 and ISO 3166-2.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
CW,Add new entry.,,2010-12-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CW.
CX,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CX.
CY,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:CY.
